"threshold","metric","estimator","estimate","outer_fold","model","mtry","max.depth","feat_thresh"
0,"accuracy","binary",0.944444444444444,"143","rf",2,15,75
0.05,"accuracy","binary",0.944444444444444,"143","rf",2,15,75
0.1,"accuracy","binary",0.944444444444444,"143","rf",2,15,75
0.15,"accuracy","binary",0.944444444444444,"143","rf",2,15,75
0.2,"accuracy","binary",0.944444444444444,"143","rf",2,15,75
0.25,"accuracy","binary",0.944444444444444,"143","rf",2,15,75
0.3,"accuracy","binary",0.944444444444444,"143","rf",2,15,75
0.35,"accuracy","binary",1,"143","rf",2,15,75
0.4,"accuracy","binary",1,"143","rf",2,15,75
0.45,"accuracy","binary",1,"143","rf",2,15,75
0.5,"accuracy","binary",1,"143","rf",2,15,75
0.55,"accuracy","binary",1,"143","rf",2,15,75
0.6,"accuracy","binary",1,"143","rf",2,15,75
0.65,"accuracy","binary",1,"143","rf",2,15,75
0.7,"accuracy","binary",1,"143","rf",2,15,75
0.75,"accuracy","binary",1,"143","rf",2,15,75
0.8,"accuracy","binary",1,"143","rf",2,15,75
0.85,"accuracy","binary",1,"143","rf",2,15,75
0.9,"accuracy","binary",0.944444444444444,"143","rf",2,15,75
0.95,"accuracy","binary",0.833333333333333,"143","rf",2,15,75
1,"accuracy","binary",0.0555555555555556,"143","rf",2,15,75
0,"bal_accuracy","binary",0.5,"143","rf",2,15,75
0.05,"bal_accuracy","binary",0.5,"143","rf",2,15,75
0.1,"bal_accuracy","binary",0.5,"143","rf",2,15,75
0.15,"bal_accuracy","binary",0.5,"143","rf",2,15,75
0.2,"bal_accuracy","binary",0.5,"143","rf",2,15,75
0.25,"bal_accuracy","binary",0.5,"143","rf",2,15,75
0.3,"bal_accuracy","binary",0.5,"143","rf",2,15,75
0.35,"bal_accuracy","binary",1,"143","rf",2,15,75
0.4,"bal_accuracy","binary",1,"143","rf",2,15,75
0.45,"bal_accuracy","binary",1,"143","rf",2,15,75
0.5,"bal_accuracy","binary",1,"143","rf",2,15,75
0.55,"bal_accuracy","binary",1,"143","rf",2,15,75
0.6,"bal_accuracy","binary",1,"143","rf",2,15,75
0.65,"bal_accuracy","binary",1,"143","rf",2,15,75
0.7,"bal_accuracy","binary",1,"143","rf",2,15,75
0.75,"bal_accuracy","binary",1,"143","rf",2,15,75
0.8,"bal_accuracy","binary",1,"143","rf",2,15,75
0.85,"bal_accuracy","binary",1,"143","rf",2,15,75
0.9,"bal_accuracy","binary",0.970588235294118,"143","rf",2,15,75
0.95,"bal_accuracy","binary",0.911764705882353,"143","rf",2,15,75
1,"bal_accuracy","binary",0.5,"143","rf",2,15,75
0,"kap","binary",0,"143","rf",2,15,75
0.05,"kap","binary",0,"143","rf",2,15,75
0.1,"kap","binary",0,"143","rf",2,15,75
0.15,"kap","binary",0,"143","rf",2,15,75
0.2,"kap","binary",0,"143","rf",2,15,75
0.25,"kap","binary",0,"143","rf",2,15,75
0.3,"kap","binary",0,"143","rf",2,15,75
0.35,"kap","binary",1,"143","rf",2,15,75
0.4,"kap","binary",1,"143","rf",2,15,75
0.45,"kap","binary",1,"143","rf",2,15,75
0.5,"kap","binary",1,"143","rf",2,15,75
0.55,"kap","binary",1,"143","rf",2,15,75
0.6,"kap","binary",1,"143","rf",2,15,75
0.65,"kap","binary",1,"143","rf",2,15,75
0.7,"kap","binary",1,"143","rf",2,15,75
0.75,"kap","binary",1,"143","rf",2,15,75
0.8,"kap","binary",1,"143","rf",2,15,75
0.85,"kap","binary",1,"143","rf",2,15,75
0.9,"kap","binary",0.64,"143","rf",2,15,75
0.95,"kap","binary",0.341463414634146,"143","rf",2,15,75
1,"kap","binary",0,"143","rf",2,15,75
0,"f_meas","binary",0.971428571428571,"143","rf",2,15,75
0.05,"f_meas","binary",0.971428571428571,"143","rf",2,15,75
0.1,"f_meas","binary",0.971428571428571,"143","rf",2,15,75
0.15,"f_meas","binary",0.971428571428571,"143","rf",2,15,75
0.2,"f_meas","binary",0.971428571428571,"143","rf",2,15,75
0.25,"f_meas","binary",0.971428571428571,"143","rf",2,15,75
0.3,"f_meas","binary",0.971428571428571,"143","rf",2,15,75
0.35,"f_meas","binary",1,"143","rf",2,15,75
0.4,"f_meas","binary",1,"143","rf",2,15,75
0.45,"f_meas","binary",1,"143","rf",2,15,75
0.5,"f_meas","binary",1,"143","rf",2,15,75
0.55,"f_meas","binary",1,"143","rf",2,15,75
0.6,"f_meas","binary",1,"143","rf",2,15,75
0.65,"f_meas","binary",1,"143","rf",2,15,75
0.7,"f_meas","binary",1,"143","rf",2,15,75
0.75,"f_meas","binary",1,"143","rf",2,15,75
0.8,"f_meas","binary",1,"143","rf",2,15,75
0.85,"f_meas","binary",1,"143","rf",2,15,75
0.9,"f_meas","binary",0.96969696969697,"143","rf",2,15,75
0.95,"f_meas","binary",0.903225806451613,"143","rf",2,15,75
1,"f_meas","binary",NA,"143","rf",2,15,75
0,"f_meas_beta2","binary",0.988372093023256,"143","rf",2,15,75
0.05,"f_meas_beta2","binary",0.988372093023256,"143","rf",2,15,75
0.1,"f_meas_beta2","binary",0.988372093023256,"143","rf",2,15,75
0.15,"f_meas_beta2","binary",0.988372093023256,"143","rf",2,15,75
0.2,"f_meas_beta2","binary",0.988372093023256,"143","rf",2,15,75
0.25,"f_meas_beta2","binary",0.988372093023256,"143","rf",2,15,75
0.3,"f_meas_beta2","binary",0.988372093023256,"143","rf",2,15,75
0.35,"f_meas_beta2","binary",1,"143","rf",2,15,75
0.4,"f_meas_beta2","binary",1,"143","rf",2,15,75
0.45,"f_meas_beta2","binary",1,"143","rf",2,15,75
0.5,"f_meas_beta2","binary",1,"143","rf",2,15,75
0.55,"f_meas_beta2","binary",1,"143","rf",2,15,75
0.6,"f_meas_beta2","binary",1,"143","rf",2,15,75
0.65,"f_meas_beta2","binary",1,"143","rf",2,15,75
0.7,"f_meas_beta2","binary",1,"143","rf",2,15,75
0.75,"f_meas_beta2","binary",1,"143","rf",2,15,75
0.8,"f_meas_beta2","binary",1,"143","rf",2,15,75
0.85,"f_meas_beta2","binary",1,"143","rf",2,15,75
0.9,"f_meas_beta2","binary",0.952380952380952,"143","rf",2,15,75
0.95,"f_meas_beta2","binary",0.853658536585366,"143","rf",2,15,75
1,"f_meas_beta2","binary",NA,"143","rf",2,15,75
0,"j_index","binary",0,"143","rf",2,15,75
0.05,"j_index","binary",0,"143","rf",2,15,75
